融资买入额,融资余额,融券卖出量,融券余量,融券余额,融资融券余额
207.24,7007.61,1.96,24.29,366.52,7374.13
273.67,7029.16,1.99,24.11,370.9,7400.07
239.28,7079.41,1.84,24.39,377.34,7456.76
349.47,7724.13,1.03,21.2,341.22,8065.36
272.69,7686.24,1.1,21.77,345.38,8031.62
324.08,7701.77,0.97,22.15,350.88,8052.66
274.05,7698.04,0.98,22.05,346.83,8044.88
265.38,7681.0,0.98,21.97,344.88,8025.89
285.83,7684.6,1.0,21.97,339.6,8024.2
307.09,7681.61,0.98,22.04,341.64,8023.25
301.8,7705.87,0.96,22.35,347.71,8053.58
321.81,7702.61,1.19,22.46,349.37,8051.99
276.86,7679.91,1.02,22.2,340.72,8020.63
260.68,7678.89,0.93,21.98,339.66,8018.56
207.37,7655.44,0.97,21.89,337.51,7992.95
246.8,7801.54,1.03,22.27,347.94,8149.48
222.41,7848.65,1.16,22.57,364.46,8213.11
295.48,7890.93,1.08,22.47,366.77,8257.7
287.17,7945.66,0.78,22.71,377.82,8323.49
307.08,7951.48,0.99,23.31,385.8,8337.28
370.78,8017.86,0.97,23.3,394.62,8412.48
375.99,8067.6,0.9,23.21,393.83,8461.44
417.83,8068.27,1.03,23.44,404.32,8472.59
436.05,8085.98,0.84,23.4,402.88,8488.87
369.31,8053.86,0.83,23.45,398.54,8452.41
389.01,8080.31,0.79,23.32,397.66,8477.97
379.1,8073.85,0.87,23.4,404.13,8477.99
356.1,8068.66,1.08,23.52,401.75,8470.42
363.86,8076.63,0.84,23.32,405.19,8481.82
414.48,8068.88,0.9,23.82,406.28,8475.17
403.23,8137.66,1.05,24.0,409.52,8547.19
470.56,8121.54,1.09,23.93,410.43,8531.98
498.07,8129.7,1.08,24.04,418.6,8548.31
391.51,8089.76,1.14,24.4,426.13,8515.89
384.94,8128.0,1.52,24.23,425.41,8553.42
354.95,8125.25,1.1,23.68,415.87,8541.12
374.14,8115.74,1.17,23.54,420.38,8536.13
386.73,8105.22,1.08,23.43,415.08,8520.3
438.69,8092.42,1.13,23.29,415.23,8507.65
408.24,8129.77,1.17,23.21,417.29,8547.07
393.13,8125.62,1.35,22.9,413.56,8539.18
344.21,8118.21,1.1,22.33,403.99,8522.2
412.63,8124.96,1.25,22.01,397.72,8522.68
403.64,8137.07,1.17,21.83,403.68,8540.75
430.62,8163.02,1.2,21.42,407.14,8570.17
414.53,8155.48,1.15,21.13,402.01,8557.5
414.5,8156.25,0.67,20.84,404.08,8560.34
477.05,8150.26,0.69,21.05,406.82,8557.09
412.73,8139.46,0.6,21.13,406.85,8546.31
467.91,8136.59,0.73,21.49,413.88,8550.47
403.85,8143.52,0.81,21.74,412.18,8555.71
422.18,8134.85,0.78,21.67,406.19,8541.05
444.96,8151.0,1.11,22.07,413.09,8564.1
412.16,8156.75,0.96,22.26,424.01,8580.76
425.07,8164.88,0.88,22.79,428.8,8593.69
429.57,8166.44,0.8,24.16,451.95,8618.39
476.21,8154.7,0.83,25.32,466.89,8621.59
441.55,8136.5,0.74,25.95,478.04,8614.55
435.59,8133.6,0.78,26.67,487.34,8620.95
439.4,8156.11,0.7,26.88,493.12,8649.23
503.1,8141.05,0.82,27.11,499.16,8640.21
482.41,8107.44,0.86,27.45,505.52,8612.96
535.54,8088.02,1.06,27.91,510.68,8598.7
443.11,8033.86,1.11,27.94,506.63,8540.49
443.06,8041.88,1.03,28.42,506.51,8548.39
420.51,8039.36,0.83,28.8,515.89,8555.26
417.37,8014.5,0.94,29.02,515.37,8529.88
456.82,8030.41,0.92,29.27,520.22,8550.64
454.9,8010.35,1.05,29.52,526.64,8537.0
442.64,7994.82,0.93,29.75,531.65,8526.48
438.87,7986.51,1.04,29.91,523.52,8510.04
399.6,7972.28,0.99,30.18,526.94,8499.22
403.14,7958.85,0.89,30.76,534.0,8492.86
427.87,7915.1,1.28,30.98,537.24,8452.34
412.17,7947.83,0.84,31.01,543.98,8491.82
343.23,7927.03,1.03,31.92,549.35,8476.39
431.08,7935.24,1.08,32.16,555.47,8490.71
431.51,7963.39,1.06,32.46,562.47,8525.86
394.31,7929.55,1.08,32.5,557.01,8486.57
377.74,7937.25,0.9,33.01,560.79,8498.05
392.26,7989.57,1.17,34.54,594.71,8584.29
412.86,7998.28,1.11,34.53,605.76,8604.04
400.59,7996.01,1.03,34.67,612.66,8608.67
359.44,7955.36,1.04,34.75,609.84,8565.2
352.51,7985.91,0.98,34.71,610.47,8596.38
388.43,7989.01,0.99,34.82,613.36,8602.38
356.87,7970.84,0.97,34.78,616.46,8587.3
356.07,7954.89,0.97,34.75,609.41,8564.3
363.67,7934.62,1.04,34.63,607.02,8541.64
329.75,7956.72,0.99,34.56,602.68,8559.41
322.82,7938.58,1.05,34.31,600.64,8539.23
326.49,7948.54,1.03,34.12,590.82,8539.37
350.37,7969.44,0.97,33.86,595.41,8564.86
